253.662	23.6366	114.843	277.422	311.084	162.348	31859.9
254.734	19.9018	114.843	277.422	312.156	158.613	31859.9
257.443	20.1867	114.843	277.422	314.865	158.898	31859.9
261.687	21.6643	114.843	277.422	319.108	160.375	31859.9
264.291	22.5546	114.843	277.422	321.713	161.266	31859.9
267.416	21.8418	114.843	277.422	324.837	160.553	31859.9
267.128	21.416	114.843	277.422	324.549	160.127	31859.9
266.391	20.3104	114.843	277.422	323.812	159.021	31859.9
267.928	19.8123	114.843	277.422	325.35	158.523	31859.9
268.974	19.3182	114.843	277.422	326.395	158.029	31859.9
270.936	18.1136	114.843	277.422	328.358	156.825	31859.9
268.972	12.2005	120.585	291.293	329.264	157.847	35125.5
270.347	11.3903	120.585	291.293	330.639	157.037	35125.5
274.951	9.43728	120.585	291.293	335.244	155.084	35125.5
277.57	8.66234	120.585	291.293	337.863	154.309	35125.5
279.485	6.9712	120.585	291.293	339.777	152.618	35125.5
283.734	6.91627	120.585	291.293	344.026	152.563	35125.5
285.296	8.20638	120.585	291.293	345.588	153.853	35125.5
288.188	8.14314	120.585	291.293	348.48	153.79	35125.5
293.917	7.99989	120.585	291.293	354.21	153.646	35125.5
295.388	8.34903	120.585	291.293	355.681	153.996	35125.5
299.334	8.74613	120.585	291.293	359.626	154.393	35125.5
300.447	8.65841	120.585	291.293	360.739	154.305	35125.5
301.964	9.38035	120.585	291.293	362.257	155.027	35125.5
302.943	9.20373	120.585	291.293	363.235	154.85	35125.5
304.291	9.00714	120.585	291.293	364.583	154.654	35125.5
305.331	8.83942	120.585	291.293	365.624	154.486	35125.5
306.115	8.43191	120.585	291.293	366.407	154.078	35125.5
306.673	8.01424	120.585	291.293	366.965	153.661	35125.5
308.261	8.15509	120.585	291.293	368.553	153.802	35125.5
310.888	8.35854	120.585	291.293	371.181	154.005	35125.5
312.288	8.84294	120.585	291.293	372.581	154.49	35125.5
313.254	9.3607	120.585	291.293	373.547	155.007	35125.5
313.855	10.1225	120.585	291.293	374.147	155.769	35125.5
295.031	8.82897	120.585	291.293	355.323	154.476	35125.5
273.411	1.69295	126.614	305.858	336.718	154.622	38725.9
256.406	2.22004	126.614	305.858	319.713	155.149	38725.9
216.653	-6.52156	132.945	321.151	283.125	154.054	42695.2
189.389	-4.49098	132.945	321.151	255.862	156.084	42695.2
166.625	-5.35743	132.945	321.151	233.098	155.218	42695.2
167.342	2.01218	126.614	305.858	230.648	154.941	38725.9
146.986	6.55696	126.614	305.858	210.293	159.486	38725.9
144.717	6.87778	126.614	305.858	208.024	159.807	38725.9
121.642	8.13	126.614	305.858	184.949	161.059	38725.9
94.7242	10.2872	126.614	305.858	158.031	163.216	38725.9
87.2839	10.8662	126.614	305.858	150.591	163.795	38725.9
67.6924	20.0037	120.585	291.293	127.985	165.65	35125.5
63.6379	20.7147	120.585	291.293	123.93	166.361	35125.5
42.3975	21.2311	120.585	291.293	102.69	166.878	35125.5
38.2606	21.357	120.585	291.293	98.5529	167.004	35125.5
31.9592	25.3629	120.585	291.293	92.2516	171.009	35125.5
27.9245	26.7652	120.585	291.293	88.2169	172.412	35125.5
35.987	32.8224	114.843	277.422	93.4083	171.533	31859.9
37.7607	32.6166	114.843	277.422	95.1819	171.328	31859.9
57.6467	30.2775	114.843	277.422	115.068	168.989	31859.9
76.5792	21.0332	120.585	291.293	136.872	166.68	35125.5
100.433	19.6038	120.585	291.293	160.725	165.25	35125.5
126.254	15.8334	120.585	291.293	186.547	161.48	35125.5
148.52	13.4031	120.585	291.293	208.812	159.05	35125.5
175.232	9.88067	120.585	291.293	235.525	155.527	35125.5
194.517	7.37686	120.585	291.293	254.809	153.023	35125.5
222	7.96708	120.585	291.293	282.292	153.614	35125.5
241.545	6.52045	120.585	291.293	301.837	152.167	35125.5
240.649	-1.25962	126.614	305.858	303.956	151.669	38725.9
240.709	-11.663	132.945	321.151	307.181	148.912	42695.2
243.845	-13.1793	132.945	321.151	310.317	147.396	42695.2
245.335	-15.2015	132.945	321.151	311.807	145.374	42695.2
247.623	-16.8096	132.945	321.151	314.095	143.766	42695.2
246.293	-27.7789	139.592	337.208	316.089	140.825	47071.5
248.906	-30.2919	139.592	337.208	318.702	138.312	47071.5
254.739	-29.8516	139.592	337.208	324.535	138.753	47071.5
258.647	-27.9352	139.592	337.208	328.443	140.669	47071.5
258.968	-26.5513	139.592	337.208	328.764	142.053	47071.5
264.929	-17.6289	132.945	321.151	331.401	142.946	42695.2
268.323	-17.6551	132.945	321.151	334.796	142.92	42695.2
268.502	-17.1754	132.945	321.151	334.974	143.4	42695.2
268.914	-16.2922	132.945	321.151	335.386	144.283	42695.2
267.892	-15.0592	132.945	321.151	334.365	145.516	42695.2
266.88	-12.8778	132.945	321.151	333.353	147.698	42695.2
266.785	-12.7262	132.945	321.151	333.257	147.849	42695.2
267.747	-12.6388	132.945	321.151	334.219	147.937	42695.2
